date,year,month,day,max_snow_in,sample_count,status,source_file
2022-04-10,2022,4,10,34.62,24,ok,MSSKI_04-10-2022.csv
2022-04-17,2022,4,17,54.24,24,ok,MSSKI_04-17-2022.csv
2023-04-10,2023,4,10,200.4,15,ok,MSSKI_04-10-2023.csv
2023-04-17,2023,4,17,,0,no_data,MSSKI_04-17-2023.csv
2024-04-10,2024,4,10,166.4,24,ok,MSSKI_04-10-2024.csv
2024-04-17,2024,4,17,160.2,24,ok,MSSKI_04-17-2024.csv
2025-04-10,2025,4,10,164.0,23,ok,MSSKI_04-10-2025.csv
2025-04-17,2025,4,17,149.7,24,ok,MSSKI_04-17-2025.csv
2026-04-10,2026,4,10,48.16,23,ok,MSSKI_04-10-2026.csv
2026-04-17,2026,4,17,63.04,24,ok,MSSKI_04-17-2026.csv
