date,year,month,day,max_snow_in,sample_count,status,source_file
2020-10-01,2020,10,1,1.15,11,ok,MSSKI.2026-04-18.csv
2020-10-02,2020,10,2,0.59,7,ok,MSSKI.2026-04-18.csv
2020-10-03,2020,10,3,237.2,10,ok,MSSKI.2026-04-18.csv
2020-10-04,2020,10,4,237.2,13,ok,MSSKI.2026-04-18.csv
2020-10-05,2020,10,5,237.2,10,ok,MSSKI.2026-04-18.csv
2020-10-06,2020,10,6,237.2,14,ok,MSSKI.2026-04-18.csv
2020-10-07,2020,10,7,237.2,13,ok,MSSKI.2026-04-18.csv
2020-10-08,2020,10,8,237.2,16,ok,MSSKI.2026-04-18.csv
2020-10-09,2020,10,9,237.2,14,ok,MSSKI.2026-04-18.csv
2020-10-10,2020,10,10,237.2,12,ok,MSSKI.2026-04-18.csv
2020-10-11,2020,10,11,237.2,10,ok,MSSKI.2026-04-18.csv
2020-10-12,2020,10,12,237.2,5,ok,MSSKI.2026-04-18.csv
2020-10-14,2020,10,14,2.72,2,ok,MSSKI.2026-04-18.csv
2020-10-15,2020,10,15,237.2,8,ok,MSSKI.2026-04-18.csv
2020-10-16,2020,10,16,237.2,7,ok,MSSKI.2026-04-18.csv
2020-10-17,2020,10,17,237.2,5,ok,MSSKI.2026-04-18.csv
2020-10-18,2020,10,18,237.2,10,ok,MSSKI.2026-04-18.csv
2020-10-19,2020,10,19,2.74,5,ok,MSSKI.2026-04-18.csv
2020-10-20,2020,10,20,237.2,9,ok,MSSKI.2026-04-18.csv
2020-10-21,2020,10,21,237.2,10,ok,MSSKI.2026-04-18.csv
2020-10-22,2020,10,22,237.2,23,ok,MSSKI.2026-04-18.csv
2020-10-23,2020,10,23,2.66,20,ok,MSSKI.2026-04-18.csv
2020-10-24,2020,10,24,237.2,12,ok,MSSKI.2026-04-18.csv
2020-10-25,2020,10,25,3.3,24,ok,MSSKI.2026-04-18.csv
2020-10-26,2020,10,26,2.64,19,ok,MSSKI.2026-04-18.csv
2020-10-27,2020,10,27,12.61,21,ok,MSSKI.2026-04-18.csv
2020-10-28,2020,10,28,4.32,23,ok,MSSKI.2026-04-18.csv
