date,year,month,day,max_snow_in,sample_count,status,source_file
2020-09-30,2020,9,30,1.0,7,ok,SRAC1.2026-04-19.csv
2020-10-01,2020,10,1,2.0,23,ok,SRAC1.2026-04-19.csv
2020-10-02,2020,10,2,1.0,23,ok,SRAC1.2026-04-19.csv
2020-10-03,2020,10,3,1.0,21,ok,SRAC1.2026-04-19.csv
2020-10-04,2020,10,4,1.0,24,ok,SRAC1.2026-04-19.csv
2020-10-05,2020,10,5,1.0,22,ok,SRAC1.2026-04-19.csv
2020-10-06,2020,10,6,1.0,20,ok,SRAC1.2026-04-19.csv
2020-10-07,2020,10,7,1.0,23,ok,SRAC1.2026-04-19.csv
2020-10-08,2020,10,8,1.0,24,ok,SRAC1.2026-04-19.csv
2020-10-09,2020,10,9,2.0,22,ok,SRAC1.2026-04-19.csv
2020-10-10,2020,10,10,1.0,24,ok,SRAC1.2026-04-19.csv
2020-10-11,2020,10,11,2.0,24,ok,SRAC1.2026-04-19.csv
2020-10-12,2020,10,12,2.0,24,ok,SRAC1.2026-04-19.csv
2020-10-13,2020,10,13,1.0,24,ok,SRAC1.2026-04-19.csv
2020-10-14,2020,10,14,2.0,24,ok,SRAC1.2026-04-19.csv
2020-10-15,2020,10,15,2.0,23,ok,SRAC1.2026-04-19.csv
2020-10-16,2020,10,16,2.0,24,ok,SRAC1.2026-04-19.csv
2020-10-17,2020,10,17,2.0,24,ok,SRAC1.2026-04-19.csv
2020-10-18,2020,10,18,1.0,24,ok,SRAC1.2026-04-19.csv
2020-10-19,2020,10,19,2.0,24,ok,SRAC1.2026-04-19.csv
2020-10-20,2020,10,20,2.0,24,ok,SRAC1.2026-04-19.csv
2020-10-21,2020,10,21,2.0,23,ok,SRAC1.2026-04-19.csv
2020-10-22,2020,10,22,2.0,23,ok,SRAC1.2026-04-19.csv
2020-10-23,2020,10,23,2.0,24,ok,SRAC1.2026-04-19.csv
2020-10-24,2020,10,24,2.0,24,ok,SRAC1.2026-04-19.csv
2020-10-25,2020,10,25,3.0,24,ok,SRAC1.2026-04-19.csv
2020-10-26,2020,10,26,3.0,24,ok,SRAC1.2026-04-19.csv
2020-10-27,2020,10,27,3.0,24,ok,SRAC1.2026-04-19.csv
2020-10-28,2020,10,28,2.0,24,ok,SRAC1.2026-04-19.csv
2020-10-29,2020,10,29,2.0,24,ok,SRAC1.2026-04-19.csv
2020-10-30,2020,10,30,2.0,24,ok,SRAC1.2026-04-19.csv
2020-10-31,2020,10,31,2.0,24,ok,SRAC1.2026-04-19.csv
2020-11-01,2020,11,1,2.0,24,ok,SRAC1.2026-04-19.csv
2020-11-02,2020,11,2,9.0,11,ok,SRAC1.2026-04-19.csv
2020-11-03,2020,11,3,0.0,11,ok,SRAC1.2026-04-19.csv
2020-11-04,2020,11,4,0.0,13,ok,SRAC1.2026-04-19.csv
2020-11-05,2020,11,5,0.0,11,ok,SRAC1.2026-04-19.csv
2020-11-06,2020,11,6,1.0,17,ok,SRAC1.2026-04-19.csv
2020-11-07,2020,11,7,1.0,19,ok,SRAC1.2026-04-19.csv
2020-11-08,2020,11,8,204.0,23,ok,SRAC1.2026-04-19.csv
2020-11-09,2020,11,9,4.0,24,ok,SRAC1.2026-04-19.csv
2020-11-10,2020,11,10,4.0,24,ok,SRAC1.2026-04-19.csv
2020-11-11,2020,11,11,3.0,24,ok,SRAC1.2026-04-19.csv
2020-11-12,2020,11,12,3.0,24,ok,SRAC1.2026-04-19.csv
2020-11-13,2020,11,13,4.0,24,ok,SRAC1.2026-04-19.csv
2020-11-14,2020,11,14,4.0,24,ok,SRAC1.2026-04-19.csv
2020-11-15,2020,11,15,4.0,24,ok,SRAC1.2026-04-19.csv
2020-11-16,2020,11,16,3.0,24,ok,SRAC1.2026-04-19.csv
2020-11-17,2020,11,17,3.0,24,ok,SRAC1.2026-04-19.csv
2020-11-18,2020,11,18,11.0,24,ok,SRAC1.2026-04-19.csv
2020-11-19,2020,11,19,11.0,24,ok,SRAC1.2026-04-19.csv
2020-11-20,2020,11,20,10.0,24,ok,SRAC1.2026-04-19.csv
2020-11-21,2020,11,21,10.0,24,ok,SRAC1.2026-04-19.csv
2020-11-22,2020,11,22,9.0,24,ok,SRAC1.2026-04-19.csv
2020-11-23,2020,11,23,9.0,23,ok,SRAC1.2026-04-19.csv
2020-11-24,2020,11,24,9.0,24,ok,SRAC1.2026-04-19.csv
2020-11-25,2020,11,25,9.0,24,ok,SRAC1.2026-04-19.csv
2020-11-26,2020,11,26,9.0,24,ok,SRAC1.2026-04-19.csv
